title,url,description,genres
Beautiful Creatures,https://www.goodreads.com/book/show/6304335-beautiful-creatures,"Lena Duchannes is unlike anyone the small Southern town of Gatlin has ever seen, and she's struggling to conceal her power, and a curse that has haunted her family for generations. But even within the overgrown gardens, murky swamps and crumbling graveyards of the forgotten South, a secret cannot stay hidden forever.Ethan Wate, who has been counting the months until he can escape from Gatlin, is haunted by dreams of a beautiful girl he has never met. When Lena moves into the town's oldest and most infamous plantation, Ethan is inexplicably drawn to her and determined to uncover the connection between them.In a town with no surprises, one secret could change everything.","['Fantasy', 'Young Adult', 'Paranormal', 'Romance', 'Fiction', 'Magic', 'Supernatural', 'Witches', 'Urban Fantasy', 'Paranormal Romance']"
Porno,https://www.goodreads.com/book/show/23965.Porno,"Diez años después de Trainspotting, Sick Boy está en franca decadencia. Acaba de dejar su piso en un barrio pijo de Londres y se ha mudado a un agujero miserable, y tras una noche de drogas y sexo indiscriminados, decide aceptar la oferta de su tía Paula: lo dejará a cargo de su pub en Leith y se marchará con su amante español a Alicante.Pero en el Port Sunshine el negocio no está solamente en las bebidas: Sick Boy descubre que un grupo liderado por «Juice» Terry Lawson, su antiguo conocido, se reúne a follar y a filmar sus orgías en uno de los salones privados. Y que en Edimburgo hay un floreciente negocio de vídeos porno realizados en las trastiendas de los pubs, con los clientes como estrellas. Y Sick Boy, que siempre está maquinando negocios, se pondrá, con la ayuda de la guapa Nikki Fuller-Smith, estudiante de cine de día y trabajadora del sexo por las noches, a hacer una película porno de altura, con calidad suficiente como para ser vendida internacionalmente y circular por Internet. Y también incluirá en el equipo a su viejo amigo Renton, el que diez años antes los traicionó y huyó a Ámsterdam con el dinero del alijo de heroína. Pero cuando Sick Boy maquina algo, la cosa tiene más complicaciones y trampas que la tela de una araña, y entre los hilos también se mueven Spud, el único que había recibido a escondidas su parte del dinero de la droga, y Begbie, el psicópata del grupo, que después de pasar unos años en la cárcel volverá a la acción aún más paranoico y furioso que antes.","['Fiction', 'Contemporary', 'Novels', 'Scotland', 'Crime', 'Thriller', 'British Literature', 'Literature', 'Dark', 'Modern']"
A Year in Provence,https://www.goodreads.com/book/show/40189.A_Year_in_Provence,"In this witty and warm-hearted account, Peter Mayle tells what it is like to realize a long-cherished dream and actually move into a 200-year-old stone farmhouse in the remote country of the Lubéron with his wife and two large dogs. He endures January's frosty mistral as it comes howling down the Rhône Valley, discovers the secrets of goat racing through the middle of town, and delights in the glorious regional cuisine. A Year in Provence transports us into all the earthy pleasures of Provençal life and lets us live vicariously at a tempo governed by seasons, not by days.","['Travel', 'Nonfiction', 'Memoir', 'France', 'Biography', 'Food', 'Humor', 'Biography Memoir', 'Autobiography', 'Travelogue']"
The Chamber,https://www.goodreads.com/book/show/5355.The_Chamber,"In the corridors of Chicago's top law firm: Twenty -six-year-old Adam Hall stands on the brink of a brilliant legal career. Now he is risking it all for a death-row killer and an impossible case.Maximum Security Unit, Mississippi State Prison: Sam Cayhall is a former Klansman and unrepentant racist now facing the death penalty for a fatal bombing in 1967. He has run out of chances -- except for one: the young, liberal Chicago lawyer who just happens to be his grandson.While the executioners prepare the gas chamber, while the protesters gather and the TV cameras wait, Adam has only days, hours, minutes to save his client. For between the two men is a chasm of shame, family lies, and secrets -- including the one secret that could save Sam Cayhall's life... or cost Adam his.--back cover","['Fiction', 'Thriller', 'Mystery', 'Legal Thriller', 'Crime', 'Suspense', 'Mystery Thriller', 'Law', 'Novels', 'Drama']"
Alanna: The First Adventure,https://www.goodreads.com/book/show/13831.Alanna,"From now on I'm Alan of Trebond, the younger twin. I'll be a knight.And so young Alanna of Trebond begins the journey to knighthood. Though a girl, Alanna has always craved the adventure and daring allowed only for boys; her twin brother, Thom, yearns to learn the art of magic. So one day they decide to switch places: Thom heads for the convent to learn magic; Alanna, pretending to be a boy, is on her way to the castle of King Roald to begin her training as a page.But the road to knighthood is not an easy one. As Alanna masters the skills necessary for battle, she must also learn to control her heart and to discern her enemies from her allies.Filled with swords and sorcery, adventure and intrigue, good and evil, Alanna's first adventure begins - one that will lead to the fulfillment of her dreams and the magical destiny that will make her a legend in her land.","['Fantasy', 'Young Adult', 'Fiction', 'Magic', 'Adventure', 'Young Adult Fantasy', 'Middle Grade', 'High Fantasy', 'Childrens', 'Teen']"
The Grand Delusion,https://www.goodreads.com/book/show/9508678-the-grand-delusion,"Loner Addy Siwel only wanted answers when she signed up for a freshman course in theology—what she got was the attention of a murderer. In The Grand Delusion, Dr. Heath Sommer brings to life the precursor stories of characters John Joe, Addy Siwel, and Merci Bowku, who were introduced to the world in the 2009 contemporary mystery The Manufactured Identity. Terror-struck, the three protagonists vie against a backdrop of ironic evil as they are stalked by an unidentified villain who breaks all the rules and sends Chief of police and reluctant clairvoyant Frank Murphy scrambling against the clock in a murder mystery showdown that leaves all questioning what is real and what is beyond this world.","['Mystery', 'Psychology']"
Where There's Smoke,https://www.goodreads.com/book/show/53354670-where-there-s-smoke,"A picturesque mountain town, sparks of romance, a threatening mystery, and a secret society of devious women…“Wonderful characters, a real mix of women with varied strength and foibles” -Goodreads review 5 stars“I loved the first book in the Sugar Mountain series so I was really second to read the second installment and get back to investigating with the Sugar Mountain Ladies Historical Society” – Goodreads review 5 starsThe cozy community of Sugar Mountain, NC harbors an underground society of women. The society itself is not secret—it’s the actual mission of the group that is concealed.Sugar Mountain is a sleepy town bursting with tourists. If you like quirky shops and original artwork, you’ll want to visit. But the local kindergarten teacher, Sarah has a mystery on her hands. All she did was try to help the fire department and now she’s receiving threatening notes. Of course, she takes the frightening messages to her friends in the Sugar Mountain Ladies Historical Society, but even their investigative skills fall short. How will they be able to find the person intent on holding back the fire department and frightening Sarah?Hugh Brockman, the second in command at the firehouse, is taking extra shifts to cope with the shortage of firefighters. When he visits Sarah’s classroom to talk to her students about fire safety, he gets caught up with the lovely teacher and her cryptic mystery. He’s not happy that someone in town is threatening her with bodily harm, and he intends to find out who it is.With every lead shot down and tensions running high, it’s up to the ladies of the society to go undercover in their own town to flush out the culprit. If they’re not successful, the fire department will continue to be undermanned, leaving Sugar Mountain is in danger and Sarah in peril.Join in the continuing antics of the Sugar Mountain Ladies Historical Society and fall in love along with Hugh and Sarah in this heartfelt and comical romantic mystery.","['Fiction', 'Cozy Mystery', 'Mystery', 'Romance']"
Tender Is the Night,https://www.goodreads.com/book/show/46164.Tender_Is_the_Night,"Set on the French Riviera in the late 1920s, Tender Is the Night is the tragic romance of the young actress Rosemary Hoyt and the stylish American couple Dick and Nicole Diver. A brilliant young psychiatrist at the time of his marriage, Dick is both husband and doctor to Nicole, whose wealth goads him into a lifestyle not his own, and whose growing strength highlights Dick's harrowing demise. A profound study of the romantic concept of character, Tender Is the Night is lyrical, expansive, and hauntingly evocative.","['Classics', 'Fiction', 'Literature', 'Romance', 'American', 'Novels', '20th Century', 'Literary Fiction', 'France', 'Modern Classics']"
Diary of a Wimpy Kid,https://www.goodreads.com/book/show/389627.Diary_of_a_Wimpy_Kid,"Greg Heffley finds himself thrust into a new year and a new school where undersize weaklings share the corridors with kids who are taller, meaner and already shaving.Desperate to prove his new found maturity, which only going up a grade can bring, Greg is happy to have his not-quite-so-cool sidekick, Rowley, along for the ride. But when Rowley's star starts to rise, Greg tries to use his best friend's popularity to his own advantage. Recorded in his diary with comic pictures and his very own words, this test of Greg and Rowley's friendship unfolds with hilarious results.","['Fiction', 'Humor', 'Childrens', 'Middle Grade', 'Young Adult', 'Realistic Fiction', 'Graphic Novels', 'Comedy', 'Comics', 'Diary']"
Bring Up the Bodies,https://www.goodreads.com/book/show/13507212-bring-up-the-bodies,"Alternate Cover Edition ISBN 0805090037 (ISBN13: 9780805090031)Though he battled for years to marry her, Henry VIII has become disenchanted with the audacious Anne Boleyn. She has failed to give him a son, and her sharp intelligence and strong will have alienated his old friends and the noble families of England.When the discarded Katherine, Henry's first wife, dies in exile from the court, Anne stands starkly exposed, the focus of gossip and malice, setting in motion a dramatic trial of the queen and her suitors for adultery and treason.At a word from Henry, Thomas Cromwell is ready to bring her down. Over a few terrifying weeks, Anne is ensnared in a web of conspiracy, while the demure Jane Seymour stands waiting her turn for the poisoned wedding ring. But Anne and her powerful family will not yield without a ferocious struggle. To defeat the Boleyns, Cromwell must ally himself with his enemies. What price will he pay for Annie's head?","['Historical Fiction', 'Fiction', 'Historical', 'British Literature', 'Audiobook', 'Literary Fiction', 'Literature', 'Tudor Period', 'Novels', '16th Century']"
Rosencrantz and Guildenstern Are Dead,https://www.goodreads.com/book/show/18545.Rosencrantz_and_Guildenstern_Are_Dead,"Hamlet told from the worm's-eye view of two minor characters, bewildered Rosencrantz and Guildenstern. Echoes of Waiting for Godot resound, reality and illusion mix, and where fate leads heroes to a tragic but inevitable end.","['Plays', 'Fiction', 'Drama', 'Classics', 'Theatre', 'Humor', 'School', 'Literature', 'High School', 'Read For School']"
Fablehaven,https://www.goodreads.com/book/show/44652.Fablehaven,"For centuries mystical creatures of all description were gathered into a hidden refuge called Fablehaven to prevent their extinction. The sanctuary survives today as one of the last strongholds of true magic. Enchanting? Absolutely. Exciting? You bet. Safe? Well, actually, quite the opposite.Kendra and her brother, Seth, have no idea that their grandfather is the current caretaker of Fablehaven. Inside the gated woods, ancient laws keep relative order among greedy trolls, mischievous satyrs, plotting witches, spiteful imps, and jealous fairies. However, when the rules get broken -- Seth is a bit too curious and reckless for his own good -- powerful forces of evil are unleashed, and Kendra and her brother face the greatest challenge of their lives. To save their family, Fablehaven, and perhaps even the world, Kendra and Seth must find the courage to do what they fear most.","['Fantasy', 'Young Adult', 'Middle Grade', 'Fiction', 'Childrens', 'Adventure', 'Magic', 'Juvenile', 'Young Adult Fantasy', 'Science Fiction Fantasy']"
In the Miso Soup,https://www.goodreads.com/book/show/17810.In_the_Miso_Soup,"It is just before New Year's. Frank, an overweight American tourist, has hired Kenji to take him on a guided tour of Tokyo's sleazy nightlife on three successive evenings. But Kenji learns exactly how much he has to fear and how irrevocably his encounter with this great white whale of an American will change his life.","['Horror', 'Fiction', 'Japan', 'Japanese Literature', 'Thriller', 'Crime', 'Mystery', 'Contemporary', 'Novels', 'Asia']"
After Dark,https://www.goodreads.com/book/show/17803.After_Dark,"In After Dark—a gripping novel of late night encounters—Murakami’s trademark humor and psychological insight are distilled with an extraordinary, harmonious mastery.Nineteen-year-old Mari is waiting out the night in an anonymous Denny’s when she meets a young man who insists he knows her older sister, thus setting her on an odyssey through the sleeping city. In the space of a single night, the lives of a diverse cast of Tokyo residents—models, prostitutes, mobsters, and musicians—collide in a world suspended between fantasy and reality. Utterly enchanting and infused with surrealism, is a thrilling account of the magical hours separating midnight from dawn.","['Fiction', 'Japan', 'Magical Realism', 'Japanese Literature', 'Contemporary', 'Novels', 'Fantasy', 'Literature', 'Asia', 'Literary Fiction']"
Leaving Isn't the Hardest Thing,https://www.goodreads.com/book/show/54831125-leaving-isn-t-the-hardest-thing,"Searing and extremely personal essays from the heart of working-class America, shot through with the darkest elements the country can manifest--cults, homelessness, and hunger--while discovering light and humor in unexpected corners.As an adult, Lauren Hough has had many identities: an airman in the U.S. Air Force, a cable guy, a bouncer at a gay club. As a child, however, she had none. Growing up as a member of the infamous cult The Children of God, Hough had her own self robbed from her. The cult took her all over the globe--to Germany, Japan, Texas, Ecuador--but it wasn't until her mother finally walked away that Lauren understood she could have a life beyond ""The Family.""Along the way, she's loaded up her car and started over, trading one life for the next. She's taken pilgrimages to the sights of her youth, been kept in solitary confinement, dated a lot of women, dabbled in drugs, and eventually found herself as what she always wanted to be: a writer. Here, as she sweeps through the underbelly of America--relying on friends, family, and strangers alike--she begins to excavate a new identity even as her past continues to trail her and color her world, relationships, and perceptions of self.At once razor-sharp, profoundly brave, and often very, very funny, the essays in interrogate our notions of ecstasy, queerness, and what it means to live freely. Each piece is a reckoning: of survival, identity, and how to reclaim one's past when carving out a future.","['Memoir', 'Nonfiction', 'Essays', 'LGBT', 'Queer', 'Audiobook', 'Cults', 'Biography', 'Religion', 'Feminism']"
Beautiful Disaster,https://www.goodreads.com/book/show/11505797-beautiful-disaster,"The new Abby Abernathy is a good girl. She doesn’t drink or swear, and she has the appropriate number of cardigans in her wardrobe. Abby believes she has enough distance from the darkness of her past, but when she arrives at college with her best friend, her path to a new beginning is quickly challenged by Eastern University's Walking One-Night Stand.Travis Maddox, lean, cut, and covered in tattoos, is exactly what Abby needs—and wants—to avoid. He spends his nights winning money in a floating fight ring, and his days as the ultimate college campus charmer. Intrigued by Abby’s resistance to his appeal, Travis tricks her into his daily life with a simple bet. If he loses, he must remain abstinent for a month. If Abby loses, she must live in Travis’s apartment for the same amount of time. Either way, Travis has no idea that he has met his match.","['Romance', 'New Adult', 'Contemporary', 'Young Adult', 'Contemporary Romance', 'College', 'Fiction', 'Chick Lit', 'Adult', 'Love']"
The Plot Against America,https://www.goodreads.com/book/show/703.The_Plot_Against_America,"In an astonishing feat of narrative invention, our most ambitious novelist imagines an alternate version of American history. In 1940 Charles A. Lindbergh, heroic aviator and rabid isolationist, is elected President. Shortly thereafter, he negotiates a cordial ""understanding"" with Adolf Hitler, while the new government embarks on a program of folksy anti-Semitism.For one boy growing up in Newark, Lindbergh's election is the first in a series of ruptures that threatens to destroy his small, safe corner of America - and with it, his mother, his father, and his older brother.(back cover)","['Fiction', 'Historical Fiction', 'Alternate History', 'Literature', 'Science Fiction', 'Novels', 'American', 'Politics', 'Jewish', 'Literary Fiction']"
Christmas in Smithville,https://www.goodreads.com/book/show/36697343-christmas-in-smithville,"Gloria hasn’t had an easy life, she’s learned her lessons the hard way. She may have dressed flashy and dated a lot, but that’s in the past. Now she’s determined to change her reputation, and working along side the women in town as they prepare for the Christmas Pageant will give her a chance to prove she’s not a flirt. Small towns never forget, but will Smithville give her a second chance?Ned, the county Deputy, has his own secrets to keep. He’s heard the gossip about Gloria, but he sees all the kind things she does for the folks of Smithville. The upcoming Christmas Pageant will give him the opportunity to finally spend time with her, especially with his friends throwing them together, but can he overcome his frustrating stutter and talk to her, face to face?Fall in love with Ned and Gloria as all your favorite Smithville characters prepare for the Christmas Pageant, and get swept up into the most romantic Christmas Eve celebration ever!","['Contemporary', 'Young Adult', 'Romance', 'Fiction', 'Adult', 'New Adult', 'Love Story', 'Novels', 'Contemporary Romance', 'Christmas']"
Insomnia,https://www.goodreads.com/book/show/10585.Insomnia,"Ralph Roberts, a sus setenta años y tras la muerte de su mujer, siente que su vida se acaba. ¿Es acaso posible que su reciente viudez, unida a un persistente insomnio, sea la causa de esa nueva sensibilidad visual que, poco a poco, le permite ver el más allá de las personas? A Ralph le preocupa este hecho, pero no menos que el súbito e inexplicable comportamiento, irracional y violento, de algunos de sus vecinos...","['Horror', 'Fiction', 'Fantasy', 'Thriller', 'Supernatural', 'Mystery', 'Suspense', 'Paranormal', 'Audiobook', 'Science Fiction']"
Blood Promise,https://www.goodreads.com/book/show/5996153-blood-promise,"Bound by love, but sworn to kill...The world thought Dimitri was dead. And to a certain extent, he was. But I hadn't been able to forget a conversation he and I had once had. We'd both agreed that we'd rather be dead - truly dead - than walk the world as Strigoi. It was time to honor our words.Guardian Rose Hathaway's life will never be the same. The recent attack on St. Vladimir's Academy devastated the entire Moroi world. Many are dead. And, for the few victims carried off by Strigoi, their fates are even worse. A rare tattoo now adorns Rose's neck; a mark that says she's killed far too many Strigoi to count.But only victim matters... Dimitri Belikov. Rose must now choose one of two very different paths: honoring her life's vow to protect Lissa—her best friend and the last surviving Dragomir princess—or, dropping out of the Academy to strike out on her own and hunt down the man she loves. She'll have to go to the ends of the earth to find Dimitri and keep the promise he begged her to make. But the question is, when the time comes, will he want to be saved?Now, with everything at stake—and worlds away from St. Vladimir's and her unguarded, vulnerable, and newly rebellious best friend—can Rose find the strength to destroy Dimitri? Or, will she sacrifice herself for a chance at eternal love?Readers who fell in love with Rose, Lissa, and Dimitri won't want to miss , the much-anticipated, epic fourth novel in Richelle Mead's enthralling series.","['Young Adult', 'Vampires', 'Fantasy', 'Paranormal', 'Romance', 'Urban Fantasy', 'Paranormal Romance', 'Supernatural', 'Fiction', 'Magic']"
Before I Fall,https://www.goodreads.com/book/show/6482837-before-i-fall,"For popular high school senior Samantha Kingston, February 12—""Cupid Day""—should be one big party, a day of valentines and roses and the privileges that come with being at the top of the social pyramid. And it is … until she dies in a terrible accident that night.However, she still wakes up the next morning. In fact, Sam lives the last day of her life seven times, until she realizes that by making even the slightest changes, she may hold more power than she ever imagined.is now a major motion picture Zoey Deutch, Halston Sage, and Kian Lawley. Named to numerous state reading lists, the novel was also recognized as a Best Book of the Year by Amazon.com, Barnes & Noble, The Daily Beast, NPR, and .","['Young Adult', 'Contemporary', 'Fiction', 'Romance', 'Fantasy', 'Paranormal', 'Realistic Fiction', 'Teen', 'Death', 'Audiobook']"
The Spy Who Came In from the Cold,https://www.goodreads.com/book/show/19494.The_Spy_Who_Came_In_from_the_Cold,"In this classic, John le Carre's third novel and the first to earn him international acclaim, he created a world unlike any previously experienced in suspense fiction. With unsurpassed knowledge culled from his years in British Intelligence, le Carre brings to light the shadowy dealings of international espionage in the tale of a British agent who longs to end his career but undertakes one final, bone-chilling assignment. When the last agent under his command is killed and Alec Leamas is called back to London, he hopes to come in from the cold for good. His spymaster, Control, however, has other plans. Determined to bring down the head of East German Intelligence and topple his organization, Control once more sends Leamas into the fray -- this time to play the part of the dishonored spy and lure the enemy to his ultimate defeat.","['Fiction', 'Thriller', 'Mystery', 'Espionage', 'Classics', 'Mystery Thriller', 'Novels', 'Crime', 'Suspense', 'Historical Fiction']"
Just Mercy: A Story of Justice and Redemption,https://www.goodreads.com/book/show/20342617-just-mercy,"An unforgettable true story about the potential for mercy to redeem us, and a clarion call to end mass incarceration in America — from one of the most inspiring lawyers of our time.Bryan Stevenson was a young lawyer when he founded the Equal Justice Initiative, a nonprofit law office in Montgomery, Alabama, dedicated to defending the poor, the incarcerated, and the wrongly condemned.Just Mercy tells the story of EJI, from the early days with a small staff facing the nation’s highest death sentencing and execution rates, through a successful campaign to challenge the cruel practice of sentencing children to die in prison, to revolutionary projects designed to confront Americans with our history of racial injustice.One of EJI’s first clients was Walter McMillian, a young Black man who was sentenced to die for the murder of a young white woman that he didn’t commit. The case exemplifies how the death penalty in America is a direct descendant of lynching — a system that treats the rich and guilty better than the poor and innocent.","['Nonfiction', 'Memoir', 'Social Justice', 'Race', 'Politics', 'History', 'Audiobook', 'Biography', 'Law', 'Anti Racist']"
The Last Lumenian,https://www.goodreads.com/book/show/54329757-the-last-lumenian,"MOST PRINCESSES NEED SAVING. THIS ONE WILL SAVE YOU.She is a rebel. Lilla is fighting for the refugees's freedom from oppression. The king, her father, lost touch with reality ever since Lilla's mother died. Now everyone else is paying the price.The arrival of Callum, a powerful Teryn general, complicates Lilla's life. His presence leads to conflicted feelings and friction with Arrov, a handsome pilot and fellow rebel.Her life is not what she imagined it to be. Not by far. Meddling gods, love interests and sudden magical abilities have no room in Lilla's world, but that has become her new reality. No matter how hard she pushes them away, it's too late. They all seek to control her anyway.Now the Era War between two ruling archgods forces Lilla to act: accept who she really is magic and all; find true love; fulfill her destiny by defeating the Archgod of Chaos and Destruction before He finds her. The Last Lumenian.","['Fantasy', 'Science Fiction', 'Novels', 'Contemporary', 'Fiction', 'Young Adult', 'Romance', 'Drama', 'Science Fiction Fantasy', 'Epic']"
Orlando,https://www.goodreads.com/book/show/18839.Orlando,"Virginia Woolf's Orlando 'The longest and most charming love letter in literature', playfully constructs the figure of Orlando as the fictional embodiment of Woolf's close friend and lover, Vita Sackville-West. Spanning three centuries, the novel opens as Orlando, a young nobleman in Elizabeth's England, awaits a visit from the Queen and traces his experience with first love as England under James I lies locked in the embrace of the Great Frost. At the midpoint of the novel, Orlando, now an ambassador in Constantinople, awakes to find that he is now a woman, and the novel indulges in farce and irony to consider the roles of women in the 18th and 19th centuries. As the novel ends in 1928, a year consonant with full suffrage for women. Orlando, now a wife and mother, stands poised at the brink of a future that holds new hope and promise for women.","['Classics', 'Fiction', 'Historical Fiction', 'LGBT', 'Fantasy', 'Queer', 'Feminism', 'Literature', 'Novels', 'British Literature']"
Shadow Kiss,https://www.goodreads.com/book/show/2802316-shadow-kiss,"WHAT IF FOLLOWING HER HEART MEANS ROSE COULD LOSE HER BEST FRIEND FOREVER?Lissa Dragomir is a Moroi princess: a mortal vampire with a rare gift for harnessing the earth's magic. She must be protected at all times from Strigoi; the fiercest vampires - the ones who never die. The powerful blend of human and vampire blood that flows through Rose Hathaway, Lissa's best friend, makes her a Dhampir. Rose is dedicated to a dangerous life of protecting Lissa from the Strigoi, who are hell-bent on making Lissa one of them.Rose knows it is forbidden to love another guardian. Her best friend, Lissa - the last Dragomir princess - must always come first. Unfortunately, when it comes to gorgeous Dimitri Belikov, some rules are meant to be broken...Then a strange darkness begins to grow in Rose's mind, and ghostly shadows warn of a terrible evil drawing nearer to the Academy's iron gates. The immortal undead are closing in, and they want vengeance for the lives Rose has stolen. In a heart-stopping battle to rival her worst nightmares, Rose will have to choose between life, love, and the two people who matter most... but will her choice mean that only one can survive?","['Young Adult', 'Fantasy', 'Vampires', 'Paranormal', 'Romance', 'Urban Fantasy', 'Paranormal Romance', 'Supernatural', 'Fiction', 'Magic']"
Survivor,https://www.goodreads.com/book/show/36236123-survivor,"From the author of the underground sensation Fight Club comes this wickedly incisive second novel, a mesmerizing, unnerving, and hilarious vision of cult and post-cult life.Tender Branson—last surviving member of the so-called Creedish Death Cult—is dictating his life story into the flight recorder of Flight 2039, cruising on autopilot at 39,000 feet somewhere over the Pacific Ocean. He is all alone in the airplane, which will crash shortly into the vast Australian outback. Before it does, he will unfold the tale of his journey from an obedient Creedish child and humble domestic servant to an ultra-buffed, steroid- and collagen-packed media messiah, author of a best-selling autobiography, , and the even better selling (The Prayer to Delay Orgasm, The Prayer to Prevent Hair Loss, The Prayer to Silence Car Alarms). He'll reveal the truth of his tortured romance with the elusive and prescient Fertility Hollis, share his insight that ""the only difference between suicide and martyrdom is press coverage,"" and deny responsibility for the Tender Branson Sensitive Materials Sanitary Landfill, a 20,000-acre repository for the nation's outdated pornography. Among other matters both bizarre and trenchant.Not since Kurt Vonnegut's and Jerzy Kosinski's has there been as dark and telling a satire on the wages of fame and the bedrock lunacy of the modern world. Unpredictable, compelling, and unforgettable, is Chuck Palahniuk at his deadpan peak; and it cements his place as one of the most original writers in fiction today.","['Fiction', 'Contemporary', 'Novels', 'Thriller', 'Humor', 'American', 'Literature', 'Dark', 'Audiobook', 'Adult']"
The Reluctant Fundamentalist,https://www.goodreads.com/book/show/40961543-the-reluctant-fundamentalist,"At a café table in Lahore, a bearded Pakistani man converses with an uneasy American stranger. As dusk deepens to night, he begins the tale that has brought them to this fateful encounter…Changez is living an immigrant's dream of America. At the top of his class at Princeton, he is snapped up by an elite valuation firm. He thrives on the energy of New York, and his budding romance with elegant, beautiful Erica promises entry into Manhattan society at the same exalted level once occupied by his own family back in Lahore.But in the wake of September 11, Changez finds his position in his adopted city suddenly overturned, and his relationship with Erica shifting. And Changez's own identity is in seismic shift as well, unearthing allegiances more fundamental than money, power, and maybe even love.","['Fiction', 'Contemporary', 'Pakistan', 'Literary Fiction', 'Novels', 'Literature', 'Asia', 'School', 'Religion', 'Historical Fiction']"
The Devil Wears Prada,https://www.goodreads.com/book/show/5139.The_Devil_Wears_Prada,"A delightfully dishy novel about the all-time most impossible boss in the history of impossible bosses.Andrea Sachs, a small-town girl fresh out of college, lands the job “a million girls would die for.” Hired as the assistant to Miranda Priestly, the high-profile, fabulously successful editor of ""Runway ""magazine, Andrea finds herself in an office that shouts ""Prada! Armani! Versace!"" at every turn, a world populated by impossibly thin, heart-wrenchingly stylish women and beautiful men clad in fine-ribbed turtlenecks and tight leather pants that show off their lifelong dedication to the gym. With breathtaking ease, Miranda can turn each and every one of these hip sophisticates into a scared, whimpering child.THE DEVIL WEARS PRADA gives a rich and hilarious new meaning to complaints about “The Boss from Hell.” Narrated in Andrea’s smart, refreshingly disarming voice, it traces a deep, dark, devilish view of life at the top only hinted at in gossip columns and over Cosmopolitans at the trendiest cocktail parties. From sending the latest, not-yet-in-stores Harry Potter to Miranda’s children in Paris by private jet, to locating an unnamed antique store where Miranda had at some point admired a vintage dresser, to serving lattes to Miranda at precisely the piping hot temperature she prefers, Andrea is sorely tested each and every day—and often late into the night with orders barked over the phone. She puts up with it all by keeping her eyes on the prize: a recommendation from Miranda that will get Andrea a top job at any magazine of her choosing. As things escalate from the merely unacceptable to the downright outrageous, however, Andrea begins to realize that the job a million girls would die for may just kill her. And even if she survives, she has to decide whether or not the job is worth the price of her soul.","['Chick Lit', 'Fiction', 'Contemporary', 'Romance', 'Adult', 'Humor', 'Adult Fiction', 'Fashion', 'Novels', 'Audiobook']"
Life... Love... Kumbh...,https://www.goodreads.com/book/show/14058818-life-love-kumbh,"The story in Life...Love...Kumbh... is told from the perspective of the three main characters- Annant, Agastaya, and Aditi. Their paths cross on January 13, 2010. It is the day before the first of the eleven sacred baths of the Haridwar Maha Kumbh.The three characters meet each other and exchange their stories. They remember the days gone by and are unsure about what lies ahead.As the Kumbh Mela draws towards an end, all three of them are thrown into a challenging situation that they have to face. The book then follows their journey as they try and find answers for their personal quests all at the same time - on life, love, and the thirst for knowledge.","['Romance', 'Love', 'Philosophy', 'Mythology', 'India', 'Humor', 'Literature', 'Spirituality', 'Fiction', 'Contemporary']"
The Gift of Fear: Survival Signals That Protect Us from Violence,https://www.goodreads.com/book/show/56465.The_Gift_of_Fear,"True fear is a gift.Unwarranted fear is a curse.Learn how to tell the difference.A date won't take ""no"" for an answer. The new nanny gives a mother an uneasy feeling. A stranger in a deserted parking lot offers unsolicited help. The threat of violence surrounds us every day. But we can protect ourselves, by learning to trust—and act on—our gut instincts.In this empowering book, Gavin de Becker, the man Oprah Winfrey calls the nation's leading expert on violent behavior, shows you how to spot even subtle signs of danger—before it's too late. Shattering the myth that most violent acts are unpredictable, de Becker, whose clients include top Hollywood stars and government agencies, offers specific ways to protect yourself and those you love, including how to act when approached by a stranger, when you should fear someone close to you, what to do if you are being stalked, how to uncover the source of anonymous threats or phone calls, the biggest mistake you can make with a threatening person, and more. Learn to spot the danger signals others miss. It might just save your life.","['Nonfiction', 'Psychology', 'Self Help', 'True Crime', 'Science', 'Crime', 'Sociology', 'Personal Development', 'Audiobook', 'Feminism']"
"Good Night, Mr. Tom",https://www.goodreads.com/book/show/161099.Good_Night_Mr_Tom,"London is poised on the brink of World War II. Timid, scrawny Willie Beech -- the abused child of a single mother -- is evacuated to the English countryside. At first, he is terrified of everything, of the country sounds and sights, even of Mr. Tom, the gruff, kindly old man who has taken him in. But gradually Willie forgets the hate and despair of his past. He learns to love a world he never knew existed, a world of friendship and affection in which harsh words and daily beatings have no place. Then a telegram comes. Willie must return to his mother in London. When weeks pass by with no word from Willie, Mr. Tom sets out for London to look for the young boy he has come to love as a son.","['Historical Fiction', 'Fiction', 'Classics', 'Childrens', 'Young Adult', 'Historical', 'War', 'World War II', 'Novels', 'School']"
Frisk,https://www.goodreads.com/book/show/51590.Frisk,"Cooper says, ""I present the actual act of evil so it's visible and give it a bunch of facets so that you can actually look at it and experience it. You're seduced into dealing with it. ... So with Frisk, whatever pleasure you got out of making a picture in your mind based on ... those people being murdered, you take responsibility for it."" In unsparingly confessional mode, Cooper leads the reader into a confrontation with what they get out of fantasized scenes of violence. A brilliant novel -- not a genre horror work but, rather, a critique of the power of genre.","['Fiction', 'Horror', 'LGBT', 'Queer', 'Gay', 'Dark', 'Novels', 'American', 'Literature', 'Thriller']"
